date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,RSI,EMA_14,MACD,MACD_Signal
2017-09-14,3944.0,3993.0,3165.13,3189.02,1665.021543,5914261.40460825,9066,761.153976,2711572.43635069,-19.15663841772104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.090532790539385,4133.826418611551,-129.27074746147537,
2017-09-15,3188.01,3856.0,2817.0,3700.0,1968.866492,6588767.18669446,10445,966.122245,3236325.66838306,16.023104276548917,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.46571930454754,4075.9828961300113,-151.47191943540565,
2017-09-16,3674.01,3950.0,3470.66,3714.95,1297.563953,4804878.24721283,8809,624.887842,2314536.03271908,0.40405405405405936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,40.80785780995781,4027.8451766460103,-165.94723172910653,
2017-09-17,3685.23,3748.21,3499.02,3699.99,682.17121,2466490.27859466,6355,273.931976,994843.63045949,-0.402697209922076,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,40.55668514209071,3984.131153093209,-176.59054213893978,
2017-09-18,3690.0,4123.2,3690.0,4035.01,1030.006455,4069033.05715863,8220,417.638722,1651863.37125876,9.054619066538038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.23996984296487,3990.9149993474475,-156.19164810517395,
2017-09-19,4060.0,4089.97,3830.91,3910.04,902.332129,3558315.19743872,7342,257.320352,1016803.88177532,-3.0971422623487954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45.858821173501354,3980.131666101121,-148.39876362737823,-119.00047689320108
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076,2839584.45308804,7231,395.275138,1562210.14983916,-0.2567748667532843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45.66380787201889,3969.447443954305,-141.4029850350612,-123.48097852157312
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084,3757043.07821264,8714,517.258926,1946238.63873747,-7.436153846153848,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.328957018261576,3921.5197847603977,-157.4452327472336,-130.27382936670523
2017-09-22,3592.84,3750.0,3505.55,3595.87,838.966425,3031771.43292849,8152,511.059869,1848104.61254174,-0.3911368175535057,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.08341755181332,3878.099813459012,-169.3460794419875,-138.0882793817617
2017-09-23,3595.88,3817.19,3542.91,3780.0,752.792791,2799706.99951511,8402,431.94671,1608679.14327472,5.120596684529755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44.8029074359221,3865.0198383311435,-162.05180173056124,-142.88098385152162
2017-09-24,3779.54,3789.99,3622.76,3660.02,661.63639,2445788.43620041,8724,290.93917,1077964.32638088,-3.1740740740740736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,42.45620417587939,3837.686526553658,-164.0612217375001,-147.11703142871733
