date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,0-6h,6-12h,12-18h,18-23h,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre
2023-09-07 12:00:00,25708.6,25976.66,25615.38,25931.18,8337.0258,214924349.04390272,195991,4311.22488,111155527.0950514,0.8657803225379901,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-07 18:00:00,25931.19,26443.14,25836.76,26255.0,13468.35788,352462745.2305691,234392,6671.44302,174574926.3653783,1.248766928462186,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-08 00:00:00,26255.0,26445.5,26198.91,26239.43,7250.67253,190634243.04819152,148381,3700.21737,97286301.1307763,-0.05930298990668437,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-08 06:00:00,26239.44,26289.13,25647.26,25839.51,10085.99683,261975110.29719967,211234,4491.77728,116593868.4954271,-1.5241184736101476,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-08 12:00:00,25839.52,25955.0,25719.8,25829.01,7602.90979,196548253.3015451,168063,4014.4674,103785715.5851509,-0.0406354454863922,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-08 18:00:00,25829.01,25934.36,25766.21,25910.5,4060.18556,105026930.462756,119174,2032.4374,52570959.2200533,0.3154979614007791,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-09 00:00:00,25910.5,25910.5,25836.49,25844.92,2804.90781,72575288.3507907,87437,1168.07267,30221507.2949812,-0.25310202427587525,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-09 06:00:00,25844.92,25907.75,25844.92,25863.03,2416.76072,62536548.8267167,86243,1086.03054,28100921.2618617,0.07007179747509085,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-09 12:00:00,25863.03,25945.09,25796.64,25879.0,3837.33295,99273010.8104361,113952,1969.34071,50950848.9992055,0.061748372097159,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-09 18:00:00,25879.01,25919.5,25845.7,25901.61,1921.62129,49724625.8196348,71406,988.99957,25590111.2068375,0.08736813632674867,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-10 00:00:00,25901.6,25902.68,25750.35,25847.81,3447.81962,89063614.2506426,113261,1454.07729,37559720.0227637,-0.20770909607549237,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-10 06:00:00,25847.82,25873.96,25795.33,25795.33,2713.92437,70132622.7565609,92133,1249.19356,32282231.1819891,-0.20303460912162175,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-10 12:00:00,25795.33,25834.82,25650.0,25695.6,5237.31126,134891437.3690937,136952,2280.43746,58730185.0423916,-0.38662036888074125,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-10 18:00:00,25695.59,26033.66,25570.57,25841.61,7339.21389,189489784.82923728,147427,3763.80241,97180764.7932057,0.5682295801615833,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-11 00:00:00,25841.6,25894.48,25652.78,25892.97,4285.91664,110397374.4352501,115547,2115.65556,54495023.2088725,0.19874922653813076,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-11 06:00:00,25892.96,25900.69,25577.3,25601.27,7530.14468,193735803.40814328,172274,3379.1628,86935488.2355187,-1.1265606069910117,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-11 12:00:00,25601.27,25755.09,24951.0,25223.92,22187.37928,560480465.7370512,401564,10619.90329,268270481.7125047,-1.4739503157460643,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-11 18:00:00,25223.92,25227.96,24901.0,25162.52,7678.8794,192758241.089262,174753,3550.18078,89120652.2283263,-0.24341973808986728,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-12 00:00:00,25162.53,25990.0,25131.48,25773.08,15730.14096,403390395.0700841,280017,8057.667,206523715.4347432,2.4264660296345664,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-12 06:00:00,25773.07,26331.38,25723.27,26098.99,16512.48377,428847463.5089906,267457,8090.73605,210162483.71250832,1.264536485356027,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
